USDZAR,GBPZAR,EURZAR,GBPCNY,EURUSD,GBPUSD,NVDA.Close,AAPL.Close,AMZN.Close,DJT.Close,PDCO.Close,MLGO.Close
17.7252,23.3609,19.6448,9.3322,1.1088,1.31925,117.5899963,229.7899933,172.1199951,19.84000015,22.46999931,8.06000042
17.7755,23.5214,19.8135,9.4167,1.1117,1.32185,125.6100006,226.4900055,170.8000031,20.10000038,22.47999954,8.600000381
17.767,23.4854,19.8502,9.435,1.1162,1.32165,128.3000031,228.0299988,173.1199951,20.98999977,25.69000053,9.680000305
17.9553,23.5618,19.9708,9.3956,1.1121,1.3122,129.3699951,226.8399963,177.0399933,22.80999947,24.97999954,10.31999969
17.9185,23.4903,19.972,9.3614,1.1135,1.312,123.7399979,224.5299988,176.1300049,22.70000076,24.56999969,11.38000011
17.8526,23.2449,19.8476,9.3157,1.1116,1.3041,128.5,226.3999939,180.1100006,24.20000076,24.81999969,10.11999989
17.7933,23.1447,19.7213,9.2874,1.1084,1.3004,127.25,226.5099945,178.8800049,21.41500092,24.61000061,10.72000027
17.7984,23.0783,19.6468,9.2666,1.1041,1.29495,130,225.8899994,178.2200012,22.23999977,24.75,11
17.9446,23.1225,19.7175,9.2432,1.0994,1.29095,124.5800018,226.0500031,177.0599976,23.05999947,24.77000046,9.859999657
18.0194,23.1486,19.8393,9.2287,1.1011,1.28545,122.8600006,224.7200012,177.5899963,23.56999969,24.88999939,10.92000008
18.0858,23.2159,19.908,9.1705,1.1019,1.2843,118.0800018,221.7200012,170.1000061,23.96999931,24.29000092,12.06000042
18.1937,23.2861,19.8721,9.1777,1.0931,1.27845,116.1399994,221.2700043,170.2299957,23.97999954,24.45999908,14.60000038
18.2456,23.286,19.9179,9.1838,1.0925,1.2761,109.0199966,217.5299988,166.8000031,24.87999916,24.09000015,13.69999981
18.3673,23.3238,20.0893,9.1308,1.093,1.26925,104.9700012,213.3099976,165.8000031,26.34000015,24.43000031,18.42000008
18.3512,23.328,20.0496,9.1332,1.0922,1.2716,98.91000366,209.8200073,162.7700043,25.71999931,23.76000023,21.60000038
18.4979,23.5728,20.2247,9.0872,1.0915,1.26885,104.25,207.2299957,161.9299927,27.11000061,23.78000069,21
18.4953,23.6675,20.281,9.067,1.0966,1.2758,100.4499969,209.2700043,161.0200043,26.97999954,24.10000038,23.60000038
18.2067,23.169,19.6806,9.1549,1.0835,1.27375,107.2699966,219.8600006,167.8999939,29.20999908,24.79000092,25.79999924
18.2555,23.3361,19.6877,9.2762,1.0789,1.27705,109.2099991,218.3600006,184.0700073,27.20000076,25.29000092,24.60000038
18.2703,23.4362,19.7548,9.2814,1.0828,1.28415,117.0199966,222.0800018,186.9799957,28.73999977,25.25,28.39999962
18.3149,23.5575,19.8405,9.3165,1.0824,1.2856,103.7300034,218.8000031,181.7100067,28.78000069,26.59000015,26.79999924
18.3702,23.5331,19.906,9.3348,1.0817,1.2846,111.5899963,218.2400055,183.1999969,30.14999962,25.84000015,31.20000076
18.2658,23.4889,19.8056,9.3279,1.086,1.28735,113.0599976,217.9600067,182.5,31.45000076,26.29000092,33.79999924
